AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
1.93754E+11,48660795480,40820331820,36460724400,1.42031E+11,1.58616E+11,61686965700,33373924680,1.64504E+11,88977312560,48750812040,1.73987E+11,1.15299E+11,1.78459E+11,1.75896E+11,1.32172E+11,67751359860,58774673160,1.13046E+11,2.74809E+11,25598248500,1.52756E+11,1.78576E+11,27214839130,36638396010,67155918570,41337043020,94536765440,2.06626E+11,3.27211E+11
1.94089E+11,48553770270,42157273980,36896634000,1.41399E+11,1.59739E+11,61533084900,34860768480,1.65356E+11,90550403480,49107898560,1.71885E+11,1.15244E+11,1.76389E+11,1.79304E+11,1.30573E+11,67233350100,58406535000,1.13504E+11,2.74898E+11,25700093100,1.50578E+11,1.78635E+11,26570118990,36580295160,66152751840,40863360090,94707204320,2.04568E+11,3.28488E+11
1.91001E+11,49338621810,43436088220,37008725040,1.40478E+11,1.59759E+11,61206088200,35478380520,1.64504E+11,89583929320,48937857360,1.70768E+11,1.14858E+11,1.77824E+11,1.80289E+11,1.30527E+11,66316041150,59234845860,1.15032E+11,2.73211E+11,25543409100,1.50093E+11,1.77788E+11,26193121620,36940520430,65805862410,40314638280,90673484160,2.04111E+11,3.31327E+11
1.90648E+11,49921314620,45194457800,37158179760,1.41111E+11,1.59157E+11,61225323300,35501255040,1.73022E+11,91336948940,49515997440,1.70177E+11,1.13753E+11,1.76555E+11,1.8386E+11,1.30202E+11,66801675300,59277323340,1.15215E+11,2.70387E+11,26172872700,1.49529E+11,1.76823E+11,26570118990,38358181170,66087124110,40689832680,90133761040,2.04225E+11,3.30286E+11
1.91916E+11,49885639550,44758498400,37575407520,1.41859E+11,1.59438E+11,61321498800,35627064900,1.76748E+11,89609633420,49277939760,1.71885E+11,1.15023E+11,1.77162E+11,1.83408E+11,1.27793E+11,66736924080,59695018560,1.15154E+11,2.72234E+11,26121202640,1.50739E+11,1.7659E+11,26531872880,37997955900,66218379570,40802391000,90190574000,2.03196E+11,3.28962E+11
1.90223E+11,49314838430,44228081130,39935546640,1.41456E+11,1.62267E+11,60321273600,35181011760,1.78452E+11,88195907920,47883601920,1.70085E+11,1.15686E+11,1.77189E+11,1.82793E+11,1.30388E+11,67254933840,59454312840,1.15612E+11,2.68771E+11,25799258420,1.51949E+11,1.75888E+11,26520945420,38253599640,67652814240,40685142750,90559858240,2.06549E+11,3.32652E+11
1.88059E+11,49968881380,43908377570,38758590720,1.39213E+11,1.61324E+11,59282578200,35295384360,1.78558E+11,86273241240,47577527760,1.71438E+11,1.13797E+11,1.78127E+11,1.78524E+11,1.31801E+11,67621857420,59503869900,1.14696E+11,2.66995E+11,25763486840,1.51465E+11,1.77904E+11,26690321050,37242644850,67259047860,40492855620,90645077680,2.08531E+11,3.30996E+11
1.9093E+11,50123473350,44438794840,38814636240,1.41744E+11,1.601E+11,60186627900,35169574500,1.79197E+11,86915843740,47832589560,1.71071E+11,1.15741E+11,1.79259E+11,1.81643E+11,1.32149E+11,67546314330,59312721240,1.18911E+11,2.69481E+11,25994014800,1.55016E+11,1.79745E+11,26783204460,37812033180,68027829840,40868050020,90531451760,2.09598E+11,3.29671E+11
1.89824E+11,50753732920,44729434440,38596681440,1.43527E+11,1.59599E+11,59667280200,34917954780,1.77813E+11,86638239460,48121659600,1.73803E+11,1.18613E+11,1.79617E+11,1.8345E+11,1.32381E+11,67611065550,59114493000,1.22148E+11,2.74898E+11,25831055380,1.56388E+11,1.7992E+11,26925261440,38718406440,68262214590,41008747920,88685030560,2.06549E+11,3.29719E+11
1.86652E+11,50408873910,44191751180,37438407360,1.40363E+11,1.58957E+11,58859406000,34300342740,1.75045E+11,84931487220,48580770840,1.73107E+11,1.14858E+11,1.78127E+11,1.79304E+11,1.30434E+11,67211766360,59022458460,1.2056E+11,2.7401E+11,25592578180,1.57275E+11,1.777E+11,26657538670,39218073750,67493432610,40399057020,86867015840,2.0453E+11,3.27021E+11
